id	Chinese	English	Japanese	Korean
1011314	掌控:控制提高3%，可使英雄领悟或升级（掌控）技能，英雄将在6星开启能力领悟			지배: 제어가 3% 증가됩니다. (지배) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011315	霸体:战斗开始时，前2回合免伤提高10%，可使英雄领悟或升级（霸体）技能，英雄将在6星开启能力领悟			인내: 전투 시작 시, 2턴 동안 대미지 무시 확률이 10% 증가됩니다. (인내) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011316	嗜血:使用物理攻击伤害技能时，以伤害量的20%恢复攻击者自身生命值，可使英雄领悟或升级（嗜血）技能，英雄将在6星开启能力领悟			흡혈: 물리 공격 스킬 사용 시, 대미지의 20%만큼 자신의 체력이 회복됩니다. (흡혈) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011317	金刚:受携带必杀/物连/法连英雄攻击时，受到的伤害降低3%，可使英雄领悟或升级（金刚）技能，英雄将在6星开启能力领悟			금강: 필사/ 물리 연타/ 에너지 연타 능력이 있는 영웅에게 피격 시, 입는 대미지가 3% 감소됩니다. (금강) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011318	守护:战斗开始，以自身生命的4%为全队附加护盾，持续2回合，该效果不可叠加，可使英雄领悟或升级（守护）技能，英雄将在6星开启能力领悟			수호: 전투 시작 시, 아군 전원에게 자신 체력의 4% 만큼의 방패를 부여합니다. 해당 버프가 2턴간 지속되며, 중첩 불가능합니다. (수호) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011319	净化:治疗/复活技能有20%概率清除随机一名队友所有负面状态，可使英雄领悟或升级（净化）技能，英雄将在6星开启能力领悟			정화: 치료나 부활 스킬 사용 시 20% 확률로 랜덤한 아군 한명의 디버프를 모두 제거합니다. (정화) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011320	反震:受到伤害时，有20%概率反弹30%伤害，可使英雄领悟或升级（反震）技能，英雄将在6星开启能力领悟			반사: 20% 확률로 대미지의 30%를 반사합니다. (반사) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011321	急袭:战斗开始时，物理攻击伤害提升10%，持续2回合，可使英雄领悟或升级（急袭）技能，英雄将在6星开启能力领悟			기습: 전투 시작 시, 2턴 동안 물리 공격 대미지가 10% 증가됩니다. (기습) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011322	急智:战斗开始时，能量攻击伤害提升10%，持续2回合，可使英雄领悟或升级（急智）技能，英雄将在6星开启能力领悟			기지: 전투 시작 시, 2턴 동안 에너지 공격 대미지가 10% 증가됩니다. (기지) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011323	吸取:使用能量攻击伤害技能时，以伤害量的10%恢复攻击者自身生命值（恢复生命值不超过自身生命的10%），可使英雄领悟或升级（吸取）技能，英雄将在6星开启能力领悟			흡수: 에너지 공격 스킬 사용 시, 대미지의 10% 만큼 자신의 체력을 회복합니다(회복량은 체력의 10%를 넘지 않음 (흡수) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011324	集齐10个后使用，会随机得到1个攻击类催化剂			10개를 수집하여 사용한 후, 공격류 촉매제 1개를 랜덤으로 획득할 수 있습니다.
1011325	集齐10个后使用，会随机得到1个增益类催化剂			10개를 수집하여 사용한 후, 버프류 촉매제 1개를 랜덤으로 획득할 수 있습니다.
1011326	集齐10个后使用，会随机得到1个防御类催化剂			10개를 수집하여 사용한 후, 방어류 촉매제 1개를 랜덤으로 획득할 수 있습니다.
1011327	集齐10个后使用，会随机得到1个辅助类催化剂			10개를 수집하여 사용한 후, 보조류 촉매제 1개를 랜덤으로 획득할 수 있습니다.
1011656	使用后可自选一种催化剂			사용 후 촉매제 하나를 선택할 수 있습니다.
1011500	用于芯片进阶的碎片	Fragments used for chip ascension.	チップの進化に使用できる欠片	칩 진급 시 사용하는 조각입니다.
1011501	芯片进阶的必备之物，十分珍惜	A key item used in the ascension of chips.	チップの進化に必要なレアアイテム	칩 진급 필수 아이템입니다. 매우 진귀합니다.
1011502	洗练芯片用，可重置芯片的属性类型和数值	Used to purify chips, resetting their stat type and values.	チップの精錬に使用可能。チップのステータスタイプ及び数値をリセットできる	칩 리셋 시 사용합니다. 칩의 속성 유형과 수치를 리셋 가능합니다.
1011503	用于在芯片商城兑换芯片，可通过出售芯片、参与迷雾之战获得	Exchange for chips in the chip store. Can be obtained by selling chips and participating in Mist Battles.	チップショップでチップを交換できる。チップ売却や霧の合戦で獲得可能	칩 상점에서 칩 교환 시 사용합니다. 칩 판매 및 시가전을 통해서 얻을 수 있습니다.
1011604	文明遗迹的地图，可用于在文明遗迹中进行探索			문명 유적의 지도입니다. 문명 유적에서 탐색 시 사용합니다.
1011568	可自选以下1种道具：1星传说芯片(反伤)*1、1星传说芯片(神勇)*1、1星传说芯片(怒意)*1、1星传说芯片(护盾)*1	Select 1 of the following: 1★ Legendary Chip (Reflect) x1, 1★ Legendary Chip (Energize) x1, 1★ Legendary Chip (Rage) x1, 1★ Legendary Chip (Shield) x1.	以下のアイテムから1個選択して獲得する（☆1レジェンドチップ(ダメージ反射)*1/☆1レジェンドチップ(神勇)*1/☆1レジェンドチップ(憤怒)*1/☆1レジェンドチップ(シールド)*1）	아이템 1개 선택 가능: 1성 전설 칩(반사)*1, 1성 전설 칩(용맹)*1, 1성 전설 칩(격노)*1, 1성 전설 칩(방패)*1
1011569	可自选以下1种道具：2星传说芯片(反伤)*1、2星传说芯片(神勇)*1、2星传说芯片(怒意)*1、2星传说芯片(护盾)*1	Select 1 of the following: 2★ Legendary Chip (Reflect) x1, 2★ Legendary Chip (Energize) x1, 2★ Legendary Chip (Rage) x1, 2★ Legendary Chip (Shield) x1.	以下のアイテムから1個選択して獲得する（☆2レジェンドチップ(ダメージ反射)*1/☆2レジェンドチップ(神勇)*1/☆2レジェンドチップ(憤怒)*1/☆2レジェンドチップ(シールド)*1）	아이템 1개 선택 가능: 2성 전설 칩(반사)*1, 2성 전설 칩(용맹)*1, 2성 전설 칩(격노)*1, 2성 전설 칩(방패)*1
1011570	可自选以下1种道具：3星传说芯片(反伤)*1、3星传说芯片(神勇)*1、3星传说芯片(怒意)*1、3星传说芯片(护盾)*1	Select 1 of the following: 3★ Legendary Chip (Reflect) x1, 3★ Legendary Chip (Energize) x1, 3★ Legendary Chip (Rage) x1, 3★ Legendary Chip (Shield) x1.	以下のアイテムから1個選択して獲得する（☆3レジェンドチップ(ダメージ反射)*1/☆3レジェンドチップ(神勇)*1/☆3レジェンドチップ(憤怒)*1/☆3レジェンドチップ(シールド)*1）	아이템 1개 선택 가능: 3성 전설 칩(반사)*1, 3성 전설 칩(용맹)*1, 3성 전설 칩(격노)*1, 3성 전설 칩(방패)*1
1011571	打开宝箱可随机获得以下一项物品：2星传说芯片自选宝箱*1，3星传说芯片自选宝箱*1	Open to obtain 1 at random: 2★ Legendary Designated Chip Chest x1, 3★ Legendary Designated Chip Chest x1.	宝箱を開けるとアイテムをランダムに1つ獲得する（☆2レジェンドチップセレクト宝箱*1/☆3レジェンドチップセレクト宝箱*1）	보물 상자 오픈 시 아이템 1개를 랜덤으로 획득 가능: 2성 전설 칩 선택상자*1, 3성 전설 칩 선택상자*1
1011588	随机获得1件任意部位的1星普通防御芯片	Drops a random 1★ Common DEF Chip for any part.	☆1ノーマル防御力チップをランダムに1個獲得する	임의 부위 1성 일반 방어 칩 1개를 랜덤으로 획득합니다.
1011589	随机获得1件任意部位的1星普通暴击芯片	Drops a random 1★ Common Crit Chip for any part.	☆1ノーマルクリティカルチップをランダムに1個獲得する	임의 부위 1성 일반 치명타 칩 1개를 랜덤으로 획득합니다.
1011590	随机获得1件任意部位的1星普通攻击芯片	Drops a random 1★ Common ATK Chip for any part.	☆1ノーマル攻撃チップをランダムに1個獲得する	임의 부위 1성 일반 공격 칩 1개를 랜덤으로 획득합니다.
1011552	打开可获得随机绿色芯片1个	Open to obtain 1 random uncommon chip.	開けるとレアのチップをランダムに1個獲得する	오픈 시 그린 칩 1개를 랜덤으로 획득할 수 있습니다.
1011553	打开可获得随机蓝色芯片1个	Open to obtain 1 random rare chip.	開けるとエクセレントチップをランダムに1個獲得する	오픈 시 블루 칩 1개를 랜덤으로 획득할 수 있습니다.
1011554	打开可获得随机紫色芯片1个	Open to obtain 1 random epic chip.	開けるとエピックのチップをランダムに1個獲得する	오픈 시 퍼플 칩 1개를 랜덤으로 획득할 수 있습니다.
1011555	打开可获得随机橙色芯片1个	Open to obtain 1 random legendary chip.	開けるとレジェンドのチップをランダムに1個獲得する	오픈 시 오렌지 칩 1개를 랜덤으로 획득할 수 있습니다.
1011556	打开可获得随机红色芯片1个	Open to obtain 1 random mythic chip.	開けるとミシックのチップをランダムに1個獲得する	오픈 시 레드 칩 1개를 랜덤으로 획득할 수 있습니다.
1011557	打开可自由选取获得绿色芯片1个	Open to obtain 1 mythic chip of your choice.	開けると指定のレアのチップを1個獲得する	오픈 시 그린 칩 1개 선택하여 획득할 수 있습니다.
1011535	可用于提升守护等级			수호 레벨업 시 사용합니다.
1011536	可用于提升守护的技能等级			수호 스킬 레벨업 시 사용합니다.
1011537	可用于对守护进行超频			수호 오버클럭 진행 시 사용합니다.
1011538	可用于对守护进行改装			수호 개조 진행 시 사용합니다.
1011539	可用于守护改装的珍贵材料			수호 개조 진행 시 사용하는 진귀한 재료입니다.
